CMDLINE C:\Users\Usuario\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe julia_set_memory_profiling.py
MEM 134.957031 1712632765.2966
MEM 134.957031 1712632765.3969
MEM 134.957031 1712632765.4974
MEM 134.957031 1712632765.5977
MEM 134.957031 1712632765.6984
MEM 134.957031 1712632765.7986
MEM 134.957031 1712632765.8989
MEM 134.957031 1712632765.9994
MEM 134.957031 1712632766.0996
MEM 134.957031 1712632766.1999
MEM 134.957031 1712632766.3004
MEM 134.957031 1712632766.4006
MEM 134.957031 1712632766.5008
MEM 134.957031 1712632766.6013
MEM 134.957031 1712632766.7017
MEM 134.957031 1712632766.8020
MEM 134.957031 1712632766.9024
MEM 134.957031 1712632767.0028
MEM 134.957031 1712632767.1030
MEM 134.957031 1712632767.2032
MEM 134.957031 1712632767.3039
MEM 134.957031 1712632767.4042
MEM 134.957031 1712632767.5046
MEM 134.957031 1712632767.6048
MEM 134.957031 1712632767.7053
MEM 134.957031 1712632767.8058
MEM 134.957031 1712632767.9060
MEM 134.957031 1712632768.0065
MEM 134.957031 1712632768.1067
MEM 134.957031 1712632768.2069
MEM 134.957031 1712632768.3073
MEM 134.957031 1712632768.4077
MEM 134.957031 1712632768.5083
MEM 134.957031 1712632768.6088
MEM 134.957031 1712632768.7092
MEM 134.957031 1712632768.8098
MEM 134.957031 1712632768.9101
MEM 134.957031 1712632769.0105
MEM 134.957031 1712632769.1107
MEM 134.957031 1712632769.2110
MEM 134.957031 1712632769.3113
MEM 134.957031 1712632769.4119
MEM 134.957031 1712632769.5125
MEM 134.957031 1712632769.6131
MEM 134.957031 1712632769.7133
MEM 134.957031 1712632769.8135
MEM 134.957031 1712632769.9139
MEM 134.957031 1712632770.0144
MEM 134.957031 1712632770.1150
MEM 134.957031 1712632770.2154
MEM 134.957031 1712632770.3161
MEM 134.957031 1712632770.4166
MEM 134.957031 1712632770.5172
MEM 134.957031 1712632770.6178
MEM 134.957031 1712632770.7184
MEM 134.957031 1712632770.8189
MEM 134.957031 1712632770.9194
MEM 134.957031 1712632771.0199
MEM 134.957031 1712632771.1201
